id,category,garhwali,hindi,english
1,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
2,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
3,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
4,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
5,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
6,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
7,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
8,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
9,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
10,greetings,जै हो!,जय हो!,Greetings!
11,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
12,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
13,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
14,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
15,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
16,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
17,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
18,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
19,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
20,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
21,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
22,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
23,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
24,greetings,जै हो!,जय हो!,Greetings!
25,weather,आज धूप खूब छन।,आज धूप बहुत है।,It's very sunny today.
26,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
27,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
